address,agent_url,description,id,page_number,price,scrape_time,url,beds,latitude,longitude,tenure,travel_time_cw,travel_time_from_strand,travel_time_cp,bedroom_score,tenure_score,price_score,tt_score_cw,tt_score_from_strand,tt_score_cp,total_score
"Oakdale Road, Streatham, SW16",http://www.rightmove.co.uk/estate-agents/agent/Samuel-Estates/Balham-97400.html,3 bedroom flat for sale,62199288,1,600000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-62199288.html,3,51.426468,-0.125669,Leasehold,46.0,55.0,12.0,5,0,1.25,-1.0,0.0,5.0,10.25
"Reynolds Place, Blackheath, London, SE3",http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Blackheath-14614.html,3 bedroom terraced house for sale,70728619,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-70728619.html,3,51.476406,0.026801,Freehold,16.0,21.0,32.0,5,3,-5.0,10.0,10.0,3.25,26.25
"Kempsford Gardens, Earl's Court, London, SW5",http://www.rightmove.co.uk/estate-agents/agent/John-D-Wood-Sales/Earls-Court-339.html,2 bedroom flat for sale,58708431,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-58708431.html,2,51.488687,-0.194967,Leasehold,44.0,70.0,38.0,0,0,-5.0,0.5,-20.0,1.75,-22.75
"Lady Margaret Road, London, N19",http://www.rightmove.co.uk/estate-agents/agent/Marsh-and-Parsons/Tufnell-Park-153443.html,2 bedroom apartment for sale,63440175,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-63440175.html,2,51.556502,-0.13547,Share of Freehold,39.0,57.0,60.0,0,3,-5.0,3.0,-2.6666666666666665,-7.5,-9.166666666666666
"Oliver Road, Walthamstow, London",http://www.rightmove.co.uk/estate-agents/agent/Central-Estate-Agents/Walthamstow-6323.html,3 bedroom terraced house for sale,63187215,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-63187215.html,3,51.582745,-0.003928,Freehold,24.0,40.0,52.0,5,3,-5.0,10.0,10.0,-3.5,19.5
"Foulser Road, London, SW17",http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Tooting-58897.html,2 bedroom apartment for sale,72792235,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-72792235.html,2,51.433981,-0.159415,Share of Freehold,48.0,62.0,20.0,0,3,-5.0,-3.0,-9.333333333333332,5.0,-9.333333333333332
"Rosemary Avenue, Finchley, London, N3 ",http://www.rightmove.co.uk/estate-agents/agent/Squires-Estates/Finchley-12569.html,3 bedroom terraced house for sale,79709183,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-79709183.html,3,51.597035,-0.18443800000000002,-,41.0,61.0,73.0,5,0,-5.0,2.0,-8.0,-14.0,-20.0
"Concordia Wharf, Coldharbour, E14",http://www.rightmove.co.uk/estate-agents/agent/Felicity-J-Lord/Canary-Wharf-11472.html,2 bedroom flat for sale,72651472,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-72651472.html,2,51.502183,-0.007683,Leasehold,7.0,29.0,42.0,0,0,-5.0,10.0,10.0,0.75,15.75
"Lucerne Road, Highbury, N5",http://www.rightmove.co.uk/estate-agents/agent/Portico/Highbury-74221.html,2 bedroom flat for sale,71926297,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-71926297.html,2,51.556406,-0.09966,Leasehold,34.0,50.0,60.0,0,0,-5.0,5.5,3.333333333333334,-7.5,-3.666666666666666
"Colvin Gardens, Wanstead",http://www.rightmove.co.uk/estate-agents/agent/Churchill-Estates/Wanstead-69505.html,3 bedroom semi-detached house for sale,82999241,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-82999241.html,3,51.58422,0.032856,Freehold,22.0,38.0,50.0,5,3,-5.0,10.0,10.0,-2.5,20.5
"John Hunter Avenue, London, SW17",http://www.rightmove.co.uk/estate-agents/agent/Marsh-and-Parsons/Tooting-61662.html,2 bedroom terraced house for sale,72878260,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-72878260.html,2,51.4352,-0.170264,Freehold,50.0,64.0,24.0,0,3,-5.0,-5.0,-12.0,5.0,-14.0
"Colvin Gardens, London, E11",http://www.rightmove.co.uk/estate-agents/agent/Bairstow-Eves/Wanstead-590.html,3 bedroom semi-detached house for sale,63420627,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-63420627.html,3,51.58422,0.032856,Freehold,22.0,38.0,50.0,5,3,-5.0,10.0,10.0,-2.5,20.5
"Kossuth Street, Greenwich, SE10",http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-London-151079.html,3 bedroom terraced house for sale,63503244,1,700000.0,2019-07-13 07:49:55.482856,http://www.rightmove.co.uk/property-for-sale/property-63503244.html,3,51.487126,0.0033159999999999995,Freehold,16.0,23.0,33.0,5,3,-5.0,10.0,10.0,3.0,26.0
